Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close
8/18/16,109.230003,109.599998,109.019997,109.080002
8/19/16,108.769997,109.690002,108.360001,109.360001
8/22/16,108.860001,109.099998,107.849998,108.510002
8/23/16,108.589996,109.32,108.529999,108.849998
8/24/16,108.57,108.75,107.68,108.029999
8/25/16,107.389999,107.879997,106.68,107.57
8/26/16,107.410004,107.949997,106.309998,106.940002
8/29/16,106.620003,107.440002,106.290001,106.82
8/30/16,105.800003,106.5,105.5,106
8/31/16,105.660004,106.57,105.639999,106.099998
9/1/16,106.139999,106.800003,105.620003,106.730003
9/2/16,107.699997,108,106.82,107.730003
9/6/16,107.900002,108.300003,107.510002,107.699997
9/7/16,107.830002,108.760002,107.07,108.360001
9/8/16,107.25,107.269997,105.239998,105.519997
9/9/16,104.639999,105.720001,103.129997,103.129997
9/12/16,102.650002,105.720001,102.529999,105.440002
9/13/16,107.510002,108.790001,107.239998,107.949997
9/14/16,108.730003,113.029999,108.599998,111.769997
9/15/16,113.860001,115.730003,113.489998,115.57
9/16/16,115.120003,116.129997,114.040001,114.919998
9/19/16,115.190002,116.18,113.25,113.580002
9/20/16,113.050003,114.120003,112.510002,113.57
9/21/16,113.849998,113.989998,112.440002,113.550003
9/22/16,114.349998,114.940002,114,114.620003
9/23/16,114.419998,114.790001,111.550003,112.709999
9/26/16,111.639999,113.389999,111.550003,112.879997
9/27/16,113,113.18,112.339996,113.089996
9/28/16,113.690002,114.639999,113.43,113.949997
9/29/16,113.160004,113.800003,111.800003,112.18
9/30/16,112.459999,113.370003,111.800003,113.050003
10/3/16,112.709999,113.050003,112.279999,112.519997
10/4/16,113.059998,114.309998,112.629997,113
10/5/16,113.400002,113.660004,112.690002,113.050003
10/6/16,113.699997,114.339996,113.129997,113.889999
10/7/16,114.309998,114.559998,113.510002,114.059998
10/10/16,115.019997,116.75,114.720001,116.050003
10/11/16,117.699997,118.690002,116.199997,116.300003
10/12/16,117.349998,117.980003,116.75,117.339996
10/13/16,116.790001,117.440002,115.720001,116.980003
10/14/16,117.879997,118.169998,117.129997,117.629997
10/17/16,117.330002,117.839996,116.779999,117.550003
10/18/16,118.18,118.209999,117.449997,117.470001
10/19/16,117.25,117.760002,113.800003,117.120003
10/20/16,116.860001,117.379997,116.330002,117.059998
10/21/16,116.809998,116.910004,116.279999,116.599998
10/24/16,117.099998,117.739998,117,117.650002
10/25/16,117.949997,118.360001,117.309998,118.25
10/26/16,114.309998,115.699997,113.309998,115.589996
10/27/16,115.389999,115.860001,114.099998,114.480003
10/28/16,113.870003,115.209999,113.449997,113.720001
10/31/16,113.650002,114.230003,113.199997,113.540001
11/1/16,113.459999,113.769997,110.529999,111.489998
11/2/16,111.400002,112.349998,111.230003,111.589996
11/3/16,110.980003,111.459999,109.550003,109.830002
11/4/16,108.529999,110.25,108.110001,108.839996
11/7/16,110.080002,110.510002,109.459999,110.410004
11/8/16,110.309998,111.720001,109.699997,111.059998
11/9/16,109.879997,111.32,108.050003,110.879997
11/10/16,111.089996,111.089996,105.830002,107.790001
11/11/16,107.120003,108.870003,106.550003,108.43
11/14/16,107.709999,107.809998,104.080002,105.709999
11/15/16,106.57,107.68,106.160004,107.110001
11/16/16,106.699997,110.230003,106.599998,109.989998
11/17/16,109.809998,110.349998,108.830002,109.949997
11/18/16,109.720001,110.540001,109.660004,110.059998
11/21/16,110.120003,111.989998,110.010002,111.730003
11/22/16,111.949997,112.419998,111.400002,111.800003
11/23/16,111.360001,111.510002,110.330002,111.230003
11/25/16,111.129997,111.870003,110.949997,111.790001
11/28/16,111.43,112.470001,111.389999,111.57
11/29/16,110.779999,112.029999,110.07,111.459999
11/30/16,111.599998,112.199997,110.269997,110.519997
12/1/16,110.370003,110.940002,109.029999,109.489998
12/2/16,109.169998,110.089996,108.849998,109.900002
12/5/16,110,110.029999,108.25,109.110001
12/6/16,109.5,110.360001,109.190002,109.949997
12/7/16,109.260002,111.190002,109.160004,111.029999
12/8/16,110.860001,112.43,110.599998,112.120003
12/9/16,112.309998,114.699997,112.309998,113.949997
12/12/16,113.290001,115,112.489998,113.300003
12/13/16,113.839996,115.919998,113.75,115.190002
12/14/16,115.040001,116.199997,114.980003,115.190002
12/15/16,115.379997,116.730003,115.230003,115.82
12/16/16,116.470001,116.5,115.650002,115.970001
12/19/16,115.800003,117.379997,115.75,116.639999
12/20/16,116.739998,117.5,116.68,116.949997
12/21/16,116.800003,117.400002,116.779999,117.059998
12/22/16,116.349998,116.510002,115.639999,116.290001
12/23/16,115.589996,116.519997,115.589996,116.519997
12/27/16,116.519997,117.800003,116.489998,117.260002
12/28/16,117.519997,118.019997,116.199997,116.760002
12/29/16,116.449997,117.110001,116.400002,116.730003
12/30/16,116.650002,117.199997,115.43,115.82
1/3/17,115.800003,116.330002,114.760002,116.150002
1/4/17,115.849998,116.510002,115.75,116.019997
1/5/17,115.919998,116.860001,115.809998,116.610001
1/6/17,116.779999,118.160004,116.470001,117.910004
1/9/17,117.949997,119.43,117.940002,118.989998
1/10/17,118.769997,119.379997,118.300003,119.110001
1/11/17,118.739998,119.93,118.599998,119.75
1/12/17,118.900002,119.300003,118.209999,119.25
1/13/17,119.110001,119.620003,118.809998,119.040001
1/17/17,118.339996,120.239998,118.220001,120
1/18/17,120,120.5,119.709999,119.989998
1/19/17,119.400002,120.089996,119.370003,119.779999
1/20/17,120.449997,120.449997,119.730003,120
1/23/17,120,120.809998,119.769997,120.080002
1/24/17,119.550003,120.099998,119.5,119.970001
1/25/17,120.419998,122.099998,120.279999,121.879997
1/26/17,121.669998,122.440002,121.599998,121.940002
1/27/17,122.139999,122.349998,121.599998,121.949997
1/30/17,120.93,121.629997,120.660004,121.629997
1/31/17,121.150002,121.389999,120.620003,121.349998
2/1/17,127.029999,130.490005,127.010002,128.75
2/2/17,127.980003,129.389999,127.779999,128.529999
2/3/17,128.309998,129.190002,128.160004,129.080002
2/6/17,129.130005,130.5,128.899994,130.289993
2/7/17,130.539993,132.089996,130.449997,131.529999
2/8/17,131.350006,132.220001,131.220001,132.039993
2/9/17,131.649994,132.449997,131.119995,132.419998
2/10/17,132.460007,132.940002,132.050003,132.119995
2/13/17,133.080002,133.820007,132.75,133.289993
2/14/17,133.470001,135.089996,133.25,135.020004
2/15/17,135.520004,136.270004,134.619995,135.509995
2/16/17,135.669998,135.899994,134.839996,135.350006
